name,level,stars,location,pos,slot,duration,times,is_collectable,is_legendary,is_ephemeral,yellow_scrip,white_scrip
Cuprite,60,,The Dravanian Hinterlands,x35:y30,2,2:00,"2:00 AM,2:00 PM",TRUE,FALSE,FALSE,450,
Dark Matter Cluster,50,3,Coerthas Western Highlands,x29:y24,?,2:00,"4:00 AM,4:00 PM",FALSE,FALSE,FALSE,,
Dark Matter Cluster,50,1,Middle La Noscea,x24:y27,?,3:00,7:00 PM,FALSE,FALSE,FALSE,,
Dark Matter Cluster,50,1,South Shroud,x18:y31,?,3:00,6:00 AM,FALSE,FALSE,FALSE,,
Dark Matter Cluster,50,1,Coerthas Central Highlands,x23:y26,?,3:00,9:00 PM,FALSE,FALSE,FALSE,,
Dark Matter Cluster,50,2,Lower La Noscea,x23:y21,?,3:00,6:00 PM,FALSE,FALSE,FALSE,,
Dark Matter Cluster,50,1,Eastern Thanalan,x25:y23,?,3:00,5:00 AM,FALSE,FALSE,FALSE,,
Dark Matter Cluster,50,1,Eastern Thanalan,x28:y22,?,3:00,9:00 AM,FALSE,FALSE,FALSE,,
Dark Matter Cluster,50,3,Southern Thanalan,x17:y9,?,3:00,4:00 AM,FALSE,FALSE,FALSE,,
Dark Matter Cluster,50,1,Coerthas Central Highlands,x27:y19,?,3:00,1:00 AM,FALSE,FALSE,FALSE,,
Dark Matter Cluster,50,2,Northern Thanalan,x17:y20,?,3:00,3:00 AM,FALSE,FALSE,FALSE,,
Dark Matter Cluster,50,1,Western Thanalan,x19:y28,?,3:00,5:00 AM,FALSE,FALSE,FALSE,,
Dark Matter Cluster,50,,Mor Dhona,x27:y10,?,3:00,"1:00 PM,5:00 PM,9:00 PM",FALSE,FALSE,FALSE,,
Dark Matter Cluster,50,2,Central Thanalan,x25:y16,?,3:00,4:00 AM,FALSE,FALSE,FALSE,,
Darksteel Ore,50,1,Coerthas Central Highlands,x27:y19,3,3:00,1:00 AM,FALSE,FALSE,FALSE,,
Earth Cluster,50,,Mor Dhona,x27:y10,7,3:00,"1:00 PM,5:00 PM,9:00 PM",FALSE,FALSE,FALSE,,
Evergleam Ore,70,3,The Lochs,x24:y12,6,2:00,"10:00 AM,10:00 PM",FALSE,TRUE,FALSE,,
Ferberite,50,2,Northern Thanalan,x17:y20,6,3:00,3:00 AM,FALSE,FALSE,FALSE,,
Fire Cluster,50,,Mor Dhona,x27:y10,3,3:00,"1:00 PM,5:00 PM,9:00 PM",FALSE,FALSE,FALSE,,
Fire Cluster,80,,Kholusia,x22.1:y18.4,3,4:00,4:00 PM,FALSE,FALSE,TRUE,,
Fire Cluster,60,1,The Churning Mists,x29:y19,3,4:00,12:00 PM,FALSE,FALSE,TRUE,,
Fire Cluster,60,1,The Dravanian Hinterlands,x26:y24,3,4:00,8:00 AM,FALSE,FALSE,TRUE,,
Fire Cluster,60,1,The Dravanian Forelands,x17:y27,3,4:00,4:00 AM,FALSE,FALSE,TRUE,,
Fire Cluster,50,1,Middle La Noscea,x24:y27,3,3:00,7:00 PM,FALSE,FALSE,FALSE,,
Fire Crystal,70,2,Yanxia,x37:y19,5,4:00,8:00 PM,FALSE,FALSE,TRUE,,
Fire Moraine,60,1,The Dravanian Forelands,x17:y27,5,4:00,4:00 AM,TRUE,FALSE,TRUE,,
Fire Moraine,60,1,The Dravanian Hinterlands,x26:y24,5,4:00,8:00 AM,TRUE,FALSE,TRUE,,
Fire Moraine,60,1,The Churning Mists,x29:y19,5,4:00,12:00 PM,TRUE,FALSE,TRUE,,
Fireheart Cobalt,80,2,Lakeland,x4.7:y33.8,6,2:00,"2:00 AM,2:00 PM",FALSE,TRUE,FALSE,,
Gale Rock,80,,The Rak'tika Greatwood,x25.7:y28.9,6,4:00,12:00 AM,TRUE,FALSE,TRUE,,
Gold Ore,50,1,Eastern Thanalan,x28:y22,6,3:00,9:00 AM,FALSE,FALSE,FALSE,,
Gold Sand,50,1,Eastern Thanalan,x25:y23,2,3:00,5:00 AM,FALSE,FALSE,FALSE,,
Grade 3 La Noscean Topsoil,50,1,Middle La Noscea,x24:y27,8,3:00,7:00 PM,FALSE,FALSE,FALSE,,
Grade 3 Shroud Topsoil,50,1,South Shroud,x18:y31,8,3:00,6:00 AM,FALSE,FALSE,FALSE,,
Grade 3 Thanalan Topsoil,50,1,Western Thanalan,x19:y28,8,3:00,5:00 AM,FALSE,FALSE,FALSE,,
Green Quartz,55,,The Churning Mists,x35:y21,6,2:00,"6:00 AM,6:00 PM",TRUE,FALSE,FALSE,400,
Gregarious Worm,50,1,Eastern Thanalan,x28:y22,1,3:00,9:00 AM,FALSE,FALSE,FALSE,,
Gregarious Worm,50,1,Coerthas Central Highlands,x27:y19,1,3:00,1:00 AM,FALSE,FALSE,FALSE,,
Gregarious Worm,50,2,Central Thanalan,x25:y16,1,3:00,4:00 AM,FALSE,FALSE,FALSE,,
Gregarious Worm,50,2,Lower La Noscea,x23:y21,1,3:00,6:00 PM,FALSE,FALSE,FALSE,,
Gregarious Worm,50,3,Northern Thanalan,x23:y22,1,3:00,5:00 PM,FALSE,FALSE,FALSE,,
Gregarious Worm,50,2,Northern Thanalan,x17:y20,1,3:00,3:00 AM,FALSE,FALSE,FALSE,,
Gregarious Worm,50,3,Southern Thanalan,x17:y9,1,3:00,4:00 AM,FALSE,FALSE,FALSE,,
Gyr Abanian Ore,70,3,The Fringes,x27:y30,3,2:00,"12:00 AM,12:00 PM",FALSE,TRUE,FALSE,,
Gyr Abanian Spring Water,70,1,The Peaks,x16:y34,1,2:00,"10:00 AM,10:00 PM",FALSE,TRUE,FALSE,,
Hawk's Eye,70,2,The Ruby Sea,x11:y22,7,2:00,"6:00 AM,6:00 PM",FALSE,TRUE,FALSE,,
Ice Cluster,50,,Mor Dhona,x27:y10,6,3:00,"1:00 PM,5:00 PM,9:00 PM",FALSE,FALSE,FALSE,,
Ice Crystal,70,2,The Lochs,x13:y16,5,4:00,12:00 AM,FALSE,FALSE,TRUE,,
Light Kidney Ore,60,,The Dravanian Hinterlands,x35:y30,3,2:00,"2:00 AM,2:00 PM",TRUE,FALSE,FALSE,450,
Lightning Cluster,60,1,Coerthas Western Highlands,x21:y28,2,4:00,8:00 PM,FALSE,FALSE,TRUE,,
Lightning Cluster,60,1,The Sea of Clouds,x34:y30,2,4:00,4:00 PM,FALSE,FALSE,TRUE,,
Lightning Cluster,50,,Mor Dhona,x27:y10,2,3:00,"1:00 PM,5:00 PM,9:00 PM",FALSE,FALSE,FALSE,,
Lightning Cluster,80,,Lakeland,x36.9:y14.9,2,4:00,8:00 AM,FALSE,FALSE,TRUE,,
Lightning Crystal,70,2,The Azim Steppe,x29:y15,5,4:00,12:00 PM,FALSE,FALSE,TRUE,,
Lightning Moraine,60,1,The Sea of Clouds,x34:y30,4,4:00,4:00 PM,TRUE,FALSE,TRUE,,
Lightning Moraine,60,1,Coerthas Western Highlands,x21:y28,4,4:00,8:00 PM,TRUE,FALSE,TRUE,,
Limonite,55,,The Dravanian Forelands,x27:y17,4,2:00,"8:00 AM,8:00 PM",TRUE,FALSE,FALSE,400,
Luminium Ore,60,3,Azys Lla,x5:y17,6,2:00,"6:00 AM,6:00 PM",FALSE,TRUE,FALSE,,
Lumythrite Ore,60,1,The Churning Mists,x11:y38,2,2:00,"2:00 AM,2:00 PM",TRUE,TRUE,FALSE,450,
Meteorite,60,1,The Sea of Clouds,x38:y14,3,2:00,"8:00 AM,8:00 PM",TRUE,TRUE,FALSE,450,
Native Gold,50,2,Central Thanalan,x25:y16,6,3:00,4:00 AM,FALSE,FALSE,FALSE,,
Nightsteel Ore,70,2,The Ruby Sea,x11:y22,3,2:00,"6:00 AM,6:00 PM",FALSE,TRUE,FALSE,,
Palladium Ore,70,1,Yanxia,x20:y10,6,2:00,"4:00 AM,4:00 PM",TRUE,TRUE,FALSE,470,
Perlite,70,2,Yanxia,x37:y19,8,4:00,8:00 PM,TRUE,FALSE,TRUE,,
Platinum Ore,50,3,Southern Thanalan,x17:y9,6,3:00,4:00 AM,FALSE,FALSE,FALSE,,
Prismstone,80,1,Il Mheg,x30:y21,7,2:00,"4:00 AM,4:00 PM",TRUE,TRUE,FALSE,,470
Pumice,50,3,Eastern La Noscea,x17:y26,1,3:00,1:00 AM,FALSE,FALSE,FALSE,,
Pummelite,70,,The Peaks,x26:y13,6,2:00,"8:00 AM,8:00 PM",FALSE,FALSE,FALSE,,
Purpure Shell Chip,80,2,The Tempest,x34.4:y31.3,1,2:00,"6:00 AM,6:00 PM",FALSE,TRUE,FALSE,,
Pyrite,55,,The Dravanian Forelands,x27:y17,3,2:00,"8:00 AM,8:00 PM",TRUE,FALSE,FALSE,240,
Radiant Astral Moraine,60,1,The Dravanian Hinterlands,x26:y24,6,4:00,8:00 AM,TRUE,FALSE,TRUE,,
Radiant Astral Moraine,60,1,The Dravanian Forelands,x17:y27,6,4:00,4:00 AM,TRUE,FALSE,TRUE,,
Radiant Astral Moraine,60,1,The Sea of Clouds,x34:y30,7,4:00,4:00 PM,TRUE,FALSE,TRUE,,
Radiant Astral Moraine,60,1,Coerthas Western Highlands,x21:y28,7,4:00,8:00 PM,TRUE,FALSE,TRUE,,
Radiant Astral Moraine,60,1,The Churning Mists,x29:y19,6,4:00,12:00 PM,TRUE,FALSE,TRUE,,
Radiant Fire Moraine,60,1,The Dravanian Forelands,x17:y27,7,4:00,4:00 AM,TRUE,FALSE,TRUE,,
Radiant Fire Moraine,60,1,The Churning Mists,x29:y19,7,4:00,12:00 PM,TRUE,FALSE,TRUE,,
Radiant Fire Moraine,60,1,The Dravanian Hinterlands,x26:y24,7,4:00,8:00 AM,TRUE,FALSE,TRUE,,
Radiant Lightning Moraine,60,1,The Sea of Clouds,x34:y30,6,4:00,4:00 PM,TRUE,FALSE,TRUE,,
Radiant Lightning Moraine,60,1,Coerthas Western Highlands,x21:y28,6,4:00,8:00 PM,TRUE,FALSE,TRUE,,
Raw Azurite,70,,The Azim Steppe,x5:y27,7,2:00,"4:00 AM,4:00 PM",TRUE,FALSE,FALSE,450,
Raw Diamond,50,2,Central Thanalan,x25:y16,8,3:00,4:00 AM,FALSE,FALSE,FALSE,,
Raw Diaspore,75,,Il Mheg,x26:y13,6,2:00,"6:00 AM,6:00 PM",TRUE,FALSE,FALSE,450,
Raw Emerald,50,2,Central Thanalan,x25:y16,7,3:00,4:00 AM,FALSE,FALSE,FALSE,,
Raw Hematite,70,2,Kholusia,x34:y23,8,2:00,"2:00 AM,2:00 PM",TRUE,FALSE,FALSE,450,
Raw Imperial Jade,70,,Yanxia,x30:y9,6,2:00,"6:00 AM,6:00 PM",TRUE,FALSE,FALSE,470,
Raw Iolite,50,2,Northern Thanalan,x17:y20,8,3:00,3:00 AM,FALSE,FALSE,FALSE,,
Raw Lazurite,75,,The Rak'tika Greatwood,x19:y20,7,2:00,"4:00 AM,4:00 PM",FALSE,FALSE,FALSE,,
Raw Onyx,80,,The Tempest,x15.8:y21.3,7,2:00,"12:00 AM,12:00 PM",TRUE,FALSE,FALSE,,470
Raw Petalite,80,,Lakeland,x29:y33,8,2:00,"6:00 AM,6:00 PM",TRUE,FALSE,FALSE,,470
Raw Rhodonite,70,,The Peaks,x26:y13,7,2:00,"8:00 AM,8:00 PM",TRUE,FALSE,FALSE,470,
Raw Ruby,50,2,Lower La Noscea,x23:y21,7,3:00,6:00 PM,FALSE,FALSE,FALSE,,
Raw Sapphire,50,2,Lower La Noscea,x23:y21,8,3:00,6:00 PM,FALSE,FALSE,FALSE,,
Raw Star Spinel,65,,The Ruby Sea,x15:y5,8,2:00,"12:00 AM,12:00 PM",TRUE,FALSE,FALSE,450,
Raw Topaz,50,2,Northern Thanalan,x17:y20,7,3:00,3:00 AM,FALSE,FALSE,FALSE,,
Raw Triphane,60,2,The Fringes,x24:y7,6,2:00,"2:00 AM,2:00 PM",TRUE,FALSE,FALSE,450,
Raw Triplite,80,,Amh Araeng,x20.1:y28.8,7,2:00,"12:00 AM,12:00 PM",TRUE,FALSE,FALSE,450,
Red Alumen,60,1,Azys Lla,x35:y16,2,2:00,"10:00 AM,10:00 PM",TRUE,TRUE,FALSE,450,
Red Quartz,60,,The Sea of Clouds,x7:y7,6,2:00,"10:00 AM,10:00 PM",TRUE,FALSE,FALSE,450,
Schorl,70,2,The Azim Steppe,x29:y15,4,4:00,12:00 PM,TRUE,FALSE,TRUE,,
Shade Quartz,80,,Kholusia,x22.1:y18.4,7,4:00,4:00 PM,TRUE,FALSE,TRUE,,
Silvergrace Ore,70,2,The Azim Steppe,x24:y37,6,2:00,"8:00 AM,8:00 PM",FALSE,TRUE,FALSE,,
Smithsonite Ore,60,1,The Sea of Clouds,x38:y14,2,2:00,"8:00 AM,8:00 PM",TRUE,TRUE,FALSE,450,
Solarite,80,,Lakeland,x36.9:y14.9,8,4:00,8:00 AM,TRUE,FALSE,TRUE,,
Sun Mica,60,1,The Sea of Clouds,x35:y39,2,2:00,"4:00 AM,4:00 PM",TRUE,TRUE,FALSE,450,
Tungsten Ore,80,1,The Tempest,x32.7:y8,3,2:00,"10:00 AM,10:00 PM",TRUE,TRUE,FALSE,,470
Tungstite,60,3,Coerthas Western Highlands,x10:y10,4,2:00,"2:00 AM,2:00 PM",FALSE,TRUE,FALSE,,
Umbral Rock,50,1,South Shroud,x18:y31,7,3:00,6:00 AM,FALSE,FALSE,FALSE,,
Unaspected Crystal,50,1,Middle La Noscea,x24:y27,?,3:00,7:00 PM,FALSE,FALSE,FALSE,,
Unaspected Crystal,50,1,Eastern La Noscea,x18:y32,?,3:00,5:00 PM,FALSE,FALSE,FALSE,,
Unaspected Crystal,50,2,Central Thanalan,x25:y16,?,3:00,4:00 AM,FALSE,FALSE,FALSE,,
Unaspected Crystal,50,1,Eastern Thanalan,x25:y23,?,3:00,5:00 AM,FALSE,FALSE,FALSE,,
Unaspected Crystal,50,1,Eastern Thanalan,x28:y22,?,3:00,9:00 AM,FALSE,FALSE,FALSE,,
Unaspected Crystal,50,2,Lower La Noscea,x23:y21,?,3:00,6:00 PM,FALSE,FALSE,FALSE,,
Unaspected Crystal,50,1,Coerthas Central Highlands,x27:y19,?,3:00,1:00 AM,FALSE,FALSE,FALSE,,
Unaspected Crystal,50,1,Coerthas Central Highlands,x23:y26,?,3:00,9:00 PM,FALSE,FALSE,FALSE,,
Unaspected Crystal,50,3,Southern Thanalan,x17:y9,?,3:00,4:00 AM,FALSE,FALSE,FALSE,,
Unaspected Crystal,50,2,Northern Thanalan,x17:y20,?,3:00,3:00 AM,FALSE,FALSE,FALSE,,
Unaspected Crystal,50,1,South Shroud,x18:y31,?,3:00,6:00 AM,FALSE,FALSE,FALSE,,
Unaspected Crystal,50,1,Western Thanalan,x19:y28,?,3:00,5:00 AM,FALSE,FALSE,FALSE,,
Unaspected Crystal,50,,Mor Dhona,x27:y10,?,3:00,"1:00 PM,5:00 PM,9:00 PM",FALSE,FALSE,FALSE,,
Violet Quartz,60,1,Coerthas Western Highlands,x37:y16,6,2:00,"12:00 AM,12:00 PM",TRUE,TRUE,FALSE,450,
Virgin Basilisk Egg,50,3,Northern Thanalan,x23:y22,6,3:00,5:00 PM,FALSE,FALSE,FALSE,,
Volcanic Rock Salt,50,1,Eastern La Noscea,x18:y32,1,3:00,5:00 PM,FALSE,FALSE,FALSE,,
Water Cluster,50,1,Western Thanalan,x19:y28,5,3:00,5:00 AM,FALSE,FALSE,FALSE,,
Water Cluster,80,,The Rak'tika Greatwood,x25.7:y28.9,5,4:00,12:00 AM,FALSE,FALSE,TRUE,,
Water Cluster,50,,Mor Dhona,x27:y10,5,3:00,"1:00 PM,5:00 PM,9:00 PM",FALSE,FALSE,FALSE,,
Wind Cluster,50,,Mor Dhona,x27:y10,4,3:00,"1:00 PM,5:00 PM,9:00 PM",FALSE,FALSE,FALSE,,
Yanxian Soil,70,2,The Azim Steppe,x29:y15,2,4:00,12:00 PM,TRUE,FALSE,TRUE,,
Yanxian Soil,70,2,Yanxia,x37:y19,2,4:00,8:00 PM,TRUE,FALSE,TRUE,,
Yanxian Soil,70,2,The Lochs,x13:y16,2,4:00,12:00 AM,TRUE,FALSE,TRUE,,
Yellow Copper Ore,50,3,Coerthas Western Highlands,x29:y24,2,2:00,"4:00 AM,4:00 PM",TRUE,FALSE,FALSE,240,
Yellow Quartz,55,,The Churning Mists,x35:y21,4,2:00,"6:00 AM,6:00 PM",TRUE,FALSE,FALSE,240,
Zeolite Ore,60,3,The Dravanian Hinterlands,x17:y29,4,2:00,"8:00 AM,8:00 PM",FALSE,TRUE,FALSE,,
